Time,Source,Destination,Protocol,Length,Source Port,Destination Port,bad_packet
0.0,d8:8c:79:19:85:0e,33:33:00:00:00:fb,MDNS,284,5353.0,5353.0,0
0.000232,d8:8c:79:19:85:0e,01:00:5e:00:00:fb,MDNS,252,5353.0,5353.0,0
0.122107,c0:23:8d:dc:88:43,01:00:5e:00:00:07,DATA,244,8001.0,8001.0,0
0.998853,d8:8c:79:19:85:0e,01:00:5e:00:00:fb,MDNS,252,5353.0,5353.0,0
0.998941,d8:8c:79:19:85:0e,33:33:00:00:00:fb,MDNS,284,5353.0,5353.0,0
1.045109,c0:23:8d:dc:88:43,ff:ff:ff:ff:ff:ff,DATA,77,51413.0,15600.0,0
1.771941,b0:e4:d5:4a:94:88,ff:ff:ff:ff:ff:ff,DHCP,286,68.0,67.0,0
2.125988,c0:23:8d:dc:88:43,01:00:5e:00:00:07,DATA,244,8001.0,8001.0,0
2.999685,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,TLS,105,59924.0,443.0,0
3.012249,b0:e4:d5:4a:94:88,04:7c:16:88:17:18,TCP,60,443.0,59924.0,0
3.08584,b0:e4:d5:4a:94:88,04:7c:16:88:17:18,TLS,88,443.0,59924.0,0
3.119381,b0:e4:d5:4a:94:88,04:7c:16:88:17:18,TLS,175,443.0,62754.0,0
3.135279,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,TCP,54,59924.0,443.0,0
3.166395,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,TCP,54,62754.0,443.0,0
4.046625,c0:23:8d:dc:88:43,01:00:5e:7f:ff:fa,DATA,77,51518.0,15600.0,0
4.128055,c0:23:8d:dc:88:43,01:00:5e:00:00:07,DATA,244,8001.0,8001.0,0
6.011187,1c:f2:9a:19:32:41,01:00:5e:7f:ff:fb,DATA,93,10101.0,10101.0,0
6.011502,1c:f2:9a:19:32:41,01:00:5e:00:00:fa,DATA,93,10101.0,10101.0,0
6.127955,c0:23:8d:dc:88:43,01:00:5e:00:00:07,DATA,244,8001.0,8001.0,0
6.892957,b0:e4:d5:4a:94:88,04:7c:16:88:17:18,TLS,135,443.0,58572.0,0
6.944559,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,TCP,54,58572.0,443.0,0
7.045922,c0:23:8d:dc:88:43,ff:ff:ff:ff:ff:ff,DATA,77,48366.0,15600.0,0
7.138526,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,DATA,1294,55092.0,443.0,0
7.138555,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,DATA,1294,55092.0,443.0,0
7.138569,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,DATA,1294,55092.0,443.0,0
7.138586,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,DATA,1294,55092.0,443.0,0
7.138601,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,DATA,1229,55092.0,443.0,0
7.156662,b0:e4:d5:4a:94:88,04:7c:16:88:17:18,DATA,78,443.0,55092.0,0
7.15686,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,DATA,75,55092.0,443.0,0
7.223512,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,TLS,89,62685.0,443.0,0
7.239397,b0:e4:d5:4a:94:88,04:7c:16:88:17:18,DATA,1289,443.0,55092.0,0
7.239478,b0:e4:d5:4a:94:88,04:7c:16:88:17:18,DATA,518,443.0,55092.0,0
7.239766,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,DATA,91,55092.0,443.0,0
7.240498,b0:e4:d5:4a:94:88,04:7c:16:88:17:18,DATA,101,443.0,55092.0,0
7.254681,b0:e4:d5:4a:94:88,04:7c:16:88:17:18,DATA,77,443.0,55092.0,0
7.254888,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,DATA,75,55092.0,443.0,0
7.26283,b0:e4:d5:4a:94:88,04:7c:16:88:17:18,TLS,85,443.0,62685.0,0
7.316586,04:7c:16:88:17:18,b0:e4:d5:4a:94:88,TCP,54,62685.0,443.0,0
8.134702,c0:23:8d:dc:88:43,01:00:5e:00:00:07,DATA,244,8001.0,8001.0,0
